ARTICLE;WORD;WORDCLASS;UKTRANSLATION;ENGMEANING;RANGTOLEARN;RIGHTANSWERCOUNT
;disease;noun;захворювання;illness of people, animals, plants, etc., caused by infection or a failure of health rather than by an accident;needToLearn;15
;burglar;noun;грабіжник;a person who illegally enters buildings and steals things;needToRepeat;16
;scratch;verb;дряпати;to cut or damage a surface or your skin slightly with or on something sharp or rough;needToLearn;14
;vapour;noun;пара;gas or extremely small drops of liquid that result from the heating of a liquid or solid;needToLearn;13
;tale;noun;казка;a story, especially one that might be invented or difficult to believe;needToLearn;14
;carpet;noun;килим;a layer of something that covers the ground;needToLearn;15
;domestic;noun;domestic;relating to a person's own country;needToRepeat;6
;accuracy;noun;точність;the quality or state of being correct or precise.;needToLearn;14
;sake;noun;користь;"for the purpose of; in the interest of; in order to achieve or preserve.";needToLearn;11
;approach;noun;підхід;come near or nearer to (someone or something) in distance or time.;needToLearn;12
;reliable;adjective;надійний;"consistently good in quality or performance; able to be trusted.";needToLearn;12
;article;noun;артикль;words that define a noun as specific or unspecific.;learned;21
;bargain;noun;дешевина;something on sale at a lower price than its true value;learned;21
;carry;verb;нести;to hold something or someone with your hands, arms, or on your back and transport it, him, or her from one place to another;learned;21
;consider;verb;розглянути;to spend time thinking about a possibility or making a decision;learned;21
;consistency;noun;консистенція;the physical nature of a substance, especially a thick liquid, for example by being thick or thin, smooth or lumpy, etc.;learned;21
;dash;noun;тире;;learned;21
;defendant;noun;відповідач;;learned;21
;deficit;noun;дефіцит;the total amount by which money spent is more than money received;learned;21
;environment;noun;навколишнє середовище;;learned;21
;environmentally;adverb;екологічно;;learned;21
;expand;verb;розширити;to increase in size, number, or importance, or to make something increase in this way;learned;21
;flagship;noun;флагман;;learned;21
;flourish;verb;процвітати;;learned;21
;headache;noun;головний біль;;learned;21
;hillside;noun;схил пагорба;;learned;21
;himalayan;adjective;гімалайський;;learned;21
;humankind;noun;людство;;learned;21
;noun;noun;іменник;;learned;21
;pave;verb;асфальтувати;;learned;21
;peel;noun;шкірка;the skin of fruit and vegetables, especially after it has been removed;learned;21
;pronoun;noun;займенник;(examples: I, You, He, She, They ...);learned;21
;purpose;noun;мета;why you do something or why something exists;learned;21
;rugged;adjective;суровый;;learned;21
;sandpaper;noun;наждачная бумага;;learned;21
;scrub;noun;скраб;to rub something hard in order to clean it, especially using a stiff brush, soap, and water;learned;21
;silencer;noun;глушитель;;learned;21
;straightforward;adjective;прямолінійний;easy to understand or simple;learned;21
;thesis;noun;теза;the main idea, opinion, or theory of a person, group, piece of writing, or speech;learned;21
;tie;verb;зав'язувати;to fasten together two ends of a piece of string or other long, thin material, or to (cause to) hold together with a long, thin piece of string, material, etc.;learned;21
;tongue;noun;язик;the large, soft piece of flesh in the mouth that you can move, and is used for tasting, speaking, etc.;learned;21
;verb;noun;дієслово;;learned;21
;vigorously;adverb;енергійно;in a way that is very forceful or energetic;learned;21
;virginity;noun;девственность;;learned;21
;weep;verb;плакати;to cry tears;learned;21
